위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.558216,33.24732,관광/숙박,베니키아호텔제주크리스탈
126.558866,33.24772,관광/숙박,대림모텔
126.557979,33.247328,관광/숙박,남국호텔
126.560078,33.247378,관광/숙박,에이스
126.556304,33.248286,관광/숙박,귀락모텔
126.556866,33.248411,관광/숙박,성림장
126.557616,33.248495,관광/숙박,은하호텔
126.556254,33.248961,문화/종교/예술,법장사
126.558041,33.24877,관광/숙박,대국아일린호텔
126.557841,33.249011,관광/숙박,영빈모텔
126.558341,33.249061,관광/숙박,동명모텔
126.558416,33.248111,관광/숙박,대명모텔
126.558654,33.247978,관광/숙박,경원모텔
126.559328,33.249353,관광/숙박,미몽장
126.560891,33.248186,관광/숙박,대중각모텔
126.560503,33.247911,관광/숙박,선인장
126.560466,33.248461,관광/숙박,록산모텔
126.558554,33.250769,관광/숙박,썬모텔
126.559791,33.250195,관광/숙박,스타성모텔
126.559928,33.249845,관광/숙박,흥신모텔
126.560378,33.249911,관광/숙박,서귀포추풍령모텔
126.566465,33.250111,관광/숙박,미도장
126.572065,33.253003,문화/종교/예술,예원문화센터
126.570615,33.251928,문화/종교/예술,한국SGI서귀포문화회관
126.558566,33.251828,문화/종교/예술,한국천부교서귀포교회
126.568065,33.253861,문화/종교/예술,서귀포장로교회
126.57159,33.255503,문화/종교/예술,서귀포침례교회
126.570952,33.257044,문화/종교/예술,열린문장로교회
126.581201,33.256519,레져/스포츠,영화골프연습장
126.575539,33.257836,문화/종교/예술,서귀포명성장로교회
126.560978,33.256552,문화/종교/예술,서귀포반석교회
126.56814,33.263952,레져/스포츠,한라골프연습장
126.58875,33.281258,문화/종교/예술,평안장로교회
126.565409,33.521473,문화/종교/예술,화북장로교회
126.562772,33.518423,레져/스포츠,삼풍마린레져
126.554273,33.515932,문화/종교/예술,원명선원
126.548461,33.513015,문화/종교/예술,국립제주박물관
126.415078,33.250701,관광/숙박,천제연폭포매표소후문
126.418416,33.252675,관광/숙박,천제연폭포매표소
126.422953,33.252226,관광/숙박,추억의수채화
126.424853,33.251826,관광/숙박,천제모텔
126.427015,33.250851,관광/숙박,큰머들펜션
126.427627,33.250876,관광/숙박,중문황토하우스민박
126.537562,33.492234,레져/스포츠,우성볼링
126.508528,33.480927,문화/종교/예술,연화사
126.499978,33.484743,문화/종교/예술,회북교회
126.507215,33.488659,문화/종교/예술,천진암
126.500741,33.487926,레져/스포츠,기업은행제주수련관
126.504578,33.4922,레져/스포츠,월드그린골프
126.514065,33.487751,문화/종교/예술,오라교회
126.513727,33.490401,문화/종교/예술,보문사
126.514114,33.495417,레져/스포츠,제주종합경기장야구장
126.517689,33.495108,레져/스포츠,제주종합경기장애향운동장
126.518739,33.494634,레져/스포츠,제주종합경기장전천후게이트볼구장
126.514614,33.4964,레져/스포츠,제주종합경기장
126.516864,33.496667,레져/스포츠,제주종합경기장실내수영장
126.513939,33.497092,레져/스포츠,제주종합경기장주경기장
126.515552,33.497467,레져/스포츠,제주종합경기장한라체육관
126.513452,33.49935,관광/숙박,유정모텔
126.513614,33.499341,관광/숙박,남산모텔
126.513302,33.499083,관광/숙박,글로리모텔
126.512952,33.498575,관광/숙박,세원모텔
126.514089,33.49865,관광/숙박,금오장모텔
126.516677,33.498516,관광/숙박,그린모텔
